birthyear,birthSex,ethnicityomb,raceomb_002,dscore,Mn_RT_all_3467,N_3467,PCT_error_3467,pct_300,pct_400,pct_2K,pct_3K,pct_4K,assocareer,assofamily,impcareer,impfamily,num_childunder18,anninc,percentanninc,primary1,num_primary1a,secondary1,num_secondary1a,surnameused,Mn_RT_all_3,Mn_RT_all_4,Mn_RT_all_6,Mn_RT_all_7,Mn_RT_correct_3,Mn_RT_correct_4,Mn_RT_correct_6,Mn_RT_correct_7,N_ERROR_3,N_ERROR_4,N_ERROR_6,N_ERROR_7,countrycit_num,countryres_num,edu,edu_14,politicalid_7,religion2014,religionid
1963,1,2,6,-0.153388433,1265.325,120,2.5,0,0,10,2.5,2.5,4,3,2,5,2,9,11,1,1,2,1,0,1387.6,1232.675,1945.5,896.75,1387.6,1232.675,1407.722222,872.9487179,0,0,2,1,1,1,8,8,4,3,2
1987,1,2,6,-0.152985916,1246.5,120,5,0,0,15.83333333,12.5,5.833333333,4,3,5,5,1,7,6,1,1,2,1,0,1556.65,1265.075,1558.6,916.8,1656.235294,1265.075,1590.894737,909.3684211,3,0,1,2,1,1,9,9,4,2,2
1976,2,2,8,-0.152965934,1239.308333,120,3.333333333,0,0,11.66666667,2.5,0.833333333,4,4,4,4,1,7,11,1,1,2,1,0,1436.684211,939.275,1392.3,1121.875,1418.388889,901.8717949,1392.3,1077.615385,1,1,0,1,1,1,9,9,5,3,2
1997,2,2,6,-0.152751935,819.8166667,120,16.66666667,0,1.666666667,1.666666667,0.833333333,0,2,2,4,5,2,9,1,1,1,2,1,0,977.7,800.5,978.1,681.05,944.2222222,676.1515152,919.6666667,592.2352941,2,7,5,6,1,1,7,7,3,3,3
1969,2,2,6,-0.152478001,1987.191667,120,5,0,0,30,20,10.83333333,4,4,3,5,2,11,8,1,1,2,1,4,2353.15,1988.2,2053.5,1770.05,1669,1979.076923,1926.947368,1714.184211,2,1,1,2,155,155,8,8,4,7,2
1970,2,3,6,-0.152279566,1306.716667,120,0.833333333,0,0,9.166666667,3.333333333,2.5,4,4,4,5,1,10,4,1,1,2,1,0,1891.8,1116.15,1347.85,1184.175,1604,1116.15,1347.85,1184.175,1,0,0,0,75,75,14,14,5,2,3
1997,2,2,5,-0.152161565,881.275,120,20,4.166666667,7.5,5.833333333,0.833333333,0,7,2,5,4,2,5,3,1,1,6,1,0,1195.25,781.175,1077.4,726.325,1193.210526,697.4516129,910.5,723.5277778,1,9,10,4,1,1,5,5,4,2,4
1997,2,2,6,-0.151992966,968.4416667,120,5,0,2.5,5,1.666666667,0,4,4,4,5,2,2,11,1,1,2,1,0,1121.05,942.025,934.65,935.45,1130.388889,899.4473684,919.2631579,929.025641,2,2,1,1,1,1,5,5,6,7,2
1986,2,2,6,-0.151914178,758.0583333,120,5,0,5,0,0,0,4,1,4,4,2,11,6,1,2,2,1,0,857.65,732.625,764,730.725,852.2105263,712.6153846,734.0526316,703.6486486,1,1,1,3,39,224,14,14,4,7,1
2002,2,2,7,-0.15178672,773.9833333,120,5,0,0,1.666666667,1.666666667,0.833333333,4,2,5,5,2,3,1,1,2,2,1,1,741.8,745.225,841,785.325,741.8,730.027027,829.0526316,777.8684211,0,3,1,2,1,1,4,4,4,6,3
2002,2,2,6,-0.15177369,687.3583333,120,5,0,0.833333333,2.5,0,0,4,4,3,5,2,6,7,5,1,1,1,1,739.15,611.5,755.25,703.375,739.15,566.8421053,755.25,632.4166667,0,2,0,4,1,1,4,4,5,3,1
1979,2,2,6,-0.15174305,1068.2,120,9.166666667,0,0,9.166666667,3.333333333,0.833333333,4,4,4,4,2,4,11,1,1,2,1,4,1494.8,931.15,1150.55,950.775,1500.789474,857.8857143,1081.368421,866.2777778,1,5,1,4,1,1,5,5,5,3,3
1979,2,2,6,-0.151678735,805.8416667,120,2.5,0,0,1.666666667,0,0,4,2,3,3,1,11,5,1,1,2,1,0,943.65,767.775,1014.8,670.525,943.65,743.5128205,980.1666667,670.525,0,1,2,0,1,1,9,9,5,2,3
1996,2,2,6,-0.151606656,762.8916667,120,6.666666667,0,0,2.5,0,0,4,3,4,3,2,11,1,1,1,2,1,0,853.95,758.025,810,698.675,827,690.3333333,733.4210526,676.4473684,1,4,1,2,1,1,7,7,7,7,1
1996,1,2,6,-0.151562474,581.5416667,120,6.666666667,0.833333333,15.83333333,0,0,0,4,4,3,3,2,1,11,1,1,2,1,0,621.95,536.15,678.55,558.225,611.8421053,519.9736842,591.4444444,530.0810811,1,2,2,3,1,1,9,9,3,2,2
1992,2,2,5,-0.151486101,1570.325,120,12.5,0,0,18.33333333,9.166666667,4.166666667,6,1,4,3,2,3,11,1,2,2,1,1,2113.3,1389.375,2257.9,1136,1749.117647,1248.419355,1599.941176,1136,3,9,3,0,1,1,7,7,6,7,1
1979,1,2,6,-0.151402457,1212.65,120,5,0,0,8.333333333,2.5,1.666666667,4,4,4,5,1,5,8,1,1,2,1,0,1457.15,1162.05,1243.5,1125.575,1457.15,1162.05,1145.941176,1052.297297,0,0,3,3,75,225,14,14,7,7,1
1974,2,1,8,-0.151373869,830.8166667,120,1.666666667,0,0.833333333,1.666666667,0,0,5,1,4,4,2,2,11,1,1,2,1,0,1061.7,756.775,886.2,761.725,1061.7,756.775,841.9473684,745.2307692,0,0,1,1,1,1,5,5,2,3,2
1992,2,2,8,-0.151257554,1102.083333,120,1.666666667,0,0,8.333333333,2.5,0.833333333,4,4,4,5,2,2,9,1,1,4,1,2,1500.8,964.7,1309.75,936.275,1343.947368,945.1538462,1309.75,936.275,1,1,0,0,1,1,8,8,6,7,1
1984,1,2,6,-0.151242452,842.9416667,120,0,0,0,0.833333333,0,0,4,4,3,4,2,9,4,1,1,2,1,0,942.55,823.25,848.75,809.925,942.55,823.25,848.75,809.925,0,0,0,0,1,1,9,9,7,7,1
1999,1,2,6,-0.15118099,942.475,120,5,0,0,5,0.833333333,0,4,1,4,4,2,11,1,2,1,1,1,1,956.05,885.275,1048.65,939.8,916.5,876.2820513,1014.842105,920.7894737,2,1,1,2,1,1,5,5,6,2,3
1996,2,2,6,-0.150966146,562.275,120,7.5,0,8.333333333,0,0,0,4,2,4,5,2,9,3,1,1,2,1,0,511.15,573.625,529.8,592.725,511.15,561.5,529.8,529.7272727,0,2,0,7,1,1,8,8,3,2,2
1980,1,3,6,-0.150906375,687.6166667,120,11.66666667,0,8.333333333,2.5,1.666666667,0,4,4,4,4,1,8,6,1,2,2,1,0,932.05,615.45,738.35,612.2,789.1764706,575.8888889,625.2222222,556.4285714,3,4,2,5,1,1,4,4,4,7,1
2001,2,2,6,-0.150853243,915.1666667,120,9.166666667,0,0,3.333333333,0.833333333,0,4,4,3,4,2,7,1,1,2,2,1,0,1086.75,784.15,1170.75,832.6,1050.631579,746.2432432,1047.25,825.6486486,1,3,4,3,1,1,5,5,6,2,3
2001,2,2,6,-0.150851695,698.5833333,120,5.833333333,0,0.833333333,0,0,0,4,4,4,4,2,5,1,1,1,2,1,0,577.85,769.45,648.4,713.175,572.1052632,717.4,648.4,698.9487179,1,5,0,1,1,1,5,5,6,3,2
1987,1,2,6,-0.150825188,819.8,120,7.5,0,0,0,0,0,4,4,5,3,1,6,7,1,2,4,1,1,858.55,774.4,936.35,787.55,811.8333333,767.7948718,851.4705882,754.1891892,2,1,3,3,1,1,7,7,6,7,1
1998,2,1,7,-0.150728445,1037.425,120,15,0,0.833333333,10.83333333,3.333333333,0.833333333,4,4,2,3,2,3,2,1,1,5,1,3,965.75,1025.3,1215.35,996.425,817.6666667,933.8918919,923.875,877.0967742,2,3,4,9,1,1,5,5,7,2,2
1998,1,2,6,-0.150728142,1567.441667,120,27.5,0,0,19.16666667,2.5,0,3,4,4,4,2,3,11,1,1,2,1,0,1737.05,1417.8,1801.85,1515.075,1709,1392.114286,1624.714286,1351.565217,5,5,6,17,1,1,5,5,6,7,1
1988,2,1,6,-0.150465926,938.5666667,120,2.5,0,0,5,1.666666667,0.833333333,4,4,5,5,2,2,11,2,1,5,1,0,1281,840.75,1117.75,775.575,917.3157895,810.2051282,1117.75,737.0769231,1,1,0,1,139,1,9,9,4,2,4
1991,2,2,6,-0.150318186,764.5333333,120,5,0,0,1.666666667,0.833333333,0,4,3,5,5,1,5,9,2,1,1,1,0,757.9,737.975,897.3,728.025,757.9,709.4444444,897.3,709.9210526,0,4,0,2,1,1,5,5,6,7,1
1981,2,2,6,-0.150285381,757.625,120,6.666666667,0,0,2.5,0,0,4,4,5,5,1,8,6,1,1,2,1,4,769.05,694.95,753.75,816.525,742.4210526,655.3947368,667,739.1944444,1,2,1,4,1,1,9,9,4,3,2
1992,2,2,3,-0.150189341,1031.758333,120,5,0,0,6.666666667,3.333333333,0.833333333,3,4,5,5,2,5,11,1,1,2,1,0,941.2,1163.475,910.2,1006.1,910.9444444,1167.769231,910.2,906.6216216,2,1,0,3,1,1,13,13,6,7,2
1976,1,2,8,-0.14984963,2132.891667,120,8.333333333,0,0,26.66666667,17.5,10,4,4,3,2,2,6,11,2,1,1,1,0,1795.888889,1665.75,1803.684211,2084.825,1795.888889,1656.666667,1746.625,1839.828571,0,1,3,5,1,1,9,9,5,3,3
1993,2,1,6,-0.149741426,785.6,120,3.333333333,0,0,0.833333333,0.833333333,0,4,4,4,4,2,6,5,1,2,2,1,0,984.9,662.1,714.4,845.05,984.9,648.2820513,714.4,796.8918919,0,1,0,3,1,1,5,5,6,3,2
1988,1,3,5,-0.149720672,591.95,120,47.5,63.33333333,75,4.166666667,3.333333333,1.666666667,7,7,4,4,1,5,7,1,1,2,1,0,274.5,273.55,263.5263158,509.325,63.18181818,128.3913043,107.3333333,426.85,9,17,10,20,1,1,7,7,3,2,3
1991,2,2,6,-0.149394637,799.3,120,5,0,0.833333333,1.666666667,0,0,5,5,3,5,2,3,11,1,1,2,1,0,963.7,686.9,834,812.15,860.0526316,677.9230769,834,749.4722222,1,1,0,4,1,1,7,7,5,7,1
2001,2,1,7,-0.149159614,663.45,120,4.166666667,0,0.833333333,0,0,0,4,3,5,5,2,4,1,1,1,2,1,0,696,621.25,707.35,667.425,640.3888889,621.25,675.7368421,627.8947368,2,0,1,2,1,1,4,4,4,2,2
1999,1,2,5,-0.149095452,760.1416667,120,14.16666667,0,1.666666667,0.833333333,0.833333333,0,2,5,5,5,2,4,3,1,1,2,1,4,677.05,849.85,645.35,769.375,668.3684211,740.5588235,635.1578947,639.1612903,1,6,1,9,1,1,5,5,4,7,1
1963,2,2,6,-0.148897078,856.6666667,120,5,0,2.5,2.5,0.833333333,0.833333333,4,4,2,5,2,5,8,1,2,2,1,1,911.1052632,643,814.65,621.725,819.6111111,643,712.4444444,571.8157895,1,0,2,2,1,1,9,9,7,7,1
1972,2,2,6,-0.148855729,802.7833333,120,2.5,0,0,2.5,0.833333333,0.833333333,6,6,3,3,2,8,5,1,1,2,1,1,847.7,741.7,974.95,755.325,847.7,618.6666667,974.95,718.1842105,0,1,0,2,39,39,7,7,7,7,1
1982,2,2,6,-0.148611327,763.3583333,120,3.333333333,0,7.5,2.5,0.833333333,0.833333333,5,3,5,3,1,4,7,2,1,1,1,1,636.05,872.625,737.55,730.65,636.05,617.1621622,713.5263158,730.65,0,3,1,0,153,153,9,9,6,3,3
1978,2,2,6,-0.148359322,993.15,120,3.333333333,0,0,5.833333333,2.5,0,4,2,5,3,2,3,11,1,2,2,1,0,1527,795.75,1134.05,853.175,1422.611111,795.75,1077.684211,846.2051282,2,0,1,1,1,1,8,8,7,7,1
1994,1,2,6,-0.148336065,730.7,120,13.33333333,0,1.666666667,0.833333333,0,0,2,5,5,5,2,3,11,1,1,2,1,1,718.25,751.05,644.65,759.6,700.1052632,642.5,599.7894737,645.2352941,1,8,1,6,1,1,7,7,7,5,1
1964,1,2,6,-0.148066228,1124.016667,120,8.333333333,0,0,8.333333333,3.333333333,0.833333333,5,4,3,4,1,11,9,2,1,1,2,0,1089.4,1092.425,1381.8,1044.025,1049.263158,939.6486486,1130.470588,901.3513514,1,3,3,3,82,1,12,12,6,3,1
1979,1,2,6,-0.147881523,1173.933333,120,5,0,0,9.166666667,1.666666667,1.666666667,4,4,3,5,1,4,11,1,1,6,2,4,1685.4,986.65,1300.35,1042.275,1656.736842,949.2051282,1189.944444,1021.947368,1,1,2,2,1,1,5,5,6,7,1
1993,2,2,8,-0.147842048,853.6083333,120,9.166666667,0,0,1.666666667,0.833333333,0,4,4,3,4,2,6,11,1,1,5,1,0,796.3,833.125,826.35,916.375,796.3,799.8157895,762.5555556,839.9393939,0,2,2,7,1,1,7,7,7,7,1
2000,1,3,5,-0.147490103,1242.658333,120,3.333333333,0,0,9.166666667,2.5,0,3,2,4,4,2,5,5,1,1,2,1,0,1250.15,1125.65,1195.9,1379.3,1240.052632,1125.65,1059.5,1391.820513,1,0,2,1,1,1,5,5,4,8,3
1987,2,2,6,-0.147119948,895.0583333,120,10,0,0,3.333333333,1.666666667,0.833333333,4,3,3,4,1,1,11,1,1,2,1,0,997.95,908.125,943.2,806.475,982.3157895,773.3235294,884.1666667,774.972973,1,6,2,3,225,225,5,5,4,2,2
1982,1,2,6,-0.147113252,1135.566667,120,0.833333333,0,0,7.5,2.5,0,5,4,3,3,1,6,7,1,2,2,1,0,1249.3,994.425,1167.45,1203.9,1249.3,994.425,1167.45,1169,0,0,0,1,1,1,9,9,6,3,2
2006,2,1,7,-0.146990803,496.2666667,120,1.666666667,5.833333333,40.83333333,0.833333333,0.833333333,0.833333333,4,4,4,3,2,2,1,1,2,2,1,3,564.6,431.4,599.3,475.45,564.6,431.4,599.3,444.8684211,0,0,0,2,1,1,2,2,7,7,1
2002,2,2,5,-0.146598127,920.8083333,120,10.83333333,0,0,2.5,0,0,4,2,5,5,2,2,1,1,1,1,1,1,908.55,966.175,835.3,924.325,779.0588235,949.3142857,831.4210526,921.4444444,3,5,1,4,1,1,3,3,7,3,4
2002,2,3,6,-0.146388086,911.1166667,120,4.166666667,0,0.833333333,4.166666667,0,0,4,4,5,5,2,7,1,1,1,2,1,0,961.15,869.475,1205.85,780.375,961.15,856.0512821,1129.666667,741.2894737,0,1,2,2,1,1,4,4,4,2,2
1998,2,2,5,-0.146332416,833.425,120,0.833333333,0,0,5,0,0,1,1,5,3,2,1,2,1,1,2,1,1,900.45,741.1,898.65,859.625,900.45,734.025641,898.65,859.625,0,1,0,0,1,1,5,5,7,7,2
1998,2,2,6,-0.146045535,1171.041667,120,0,0,0,9.166666667,0,0,4,4,3,4,2,4,2,1,2,2,2,0,1273.35,1049,1274.25,1190.325,1273.35,1049,1274.25,1190.325,0,0,0,0,1,1,5,5,2,8,3
1977,2,2,6,-0.146042477,1146.358333,120,1.666666667,0,0,5,0,0,5,4,4,4,2,7,11,1,1,4,1,1,1226.25,1154.375,1169.15,1087,1226.25,1127.179487,1169.15,1080.589744,0,1,0,1,1,1,13,13,3,3,4
1968,2,2,6,-0.145344884,697.8333333,120,3.333333333,0,2.5,0,0,0,5,3,5,5,2,11,1,1,1,4,1,4,736.75,640.75,736.35,716.2,692.8421053,610.1578947,736.35,696.3333333,1,2,0,1,1,1,9,9,3,3,4
1962,1,2,6,-0.145141647,1882.308333,120,3.333333333,0,0,26.66666667,11.66666667,5,5,4,4,4,2,11,2,1,1,2,1,0,2407.6,1596.025,1804.578947,1729.1,2105.882353,1596.025,1804.578947,1674.153846,3,0,0,1,1,1,11,11,7,5,3
1998,2,2,6,-0.145107009,804.875,120,1.666666667,0,0,1.666666667,0.833333333,0,4,4,4,5,2,5,5,1,1,2,1,3,896.3,714.05,1163.2,670.825,896.3,704.1794872,1163.2,661.8205128,0,1,0,1,1,1,7,7,3,2,2
1992,2,2,6,-0.145098496,770.8416667,120,0,0,0,0.833333333,0,0,4,4,5,5,2,4,11,1,1,2,1,0,910.95,724.75,845.8,709.4,910.95,724.75,845.8,709.4,0,0,0,0,1,1,7,7,3,2,1
1997,1,1,7,-0.144958856,1921.325,120,20.83333333,5.833333333,8.333333333,8.333333333,5,5,4,4,5,5,2,11,1,2,1,1,2,4,1133.947368,685.025641,1070.5,874.925,1133.947368,630.5769231,981,846.3870968,0,13,3,9,1,1,8,8,4,2,2
1994,1,2,2,-0.144753128,929.0666667,120,10.83333333,0,0.833333333,2.5,0,0,7,5,4,3,2,3,3,1,1,1,1,0,990.3,853.325,1087.4,895.025,934.6842105,819.4444444,1088.166667,814.1176471,1,4,2,6,1,1,7,7,5,6,2
1992,2,2,7,-0.144339465,804.075,120,5,0,0.833333333,2.5,0,0,4,4,4,4,2,11,4,1,1,2,1,0,750.95,802.7,885.05,791.525,733.8947368,780.5263158,839.5,775.1794872,1,2,2,1,1,1,7,7,6,7,1
1965,1,2,6,-0.144228279,1116.975,120,8.333333333,0,0,10,4.166666667,2.5,4,4,4,4,1,11,11,1,2,4,1,0,1803.75,865.225,1472.8,847.425,1803.75,865.225,1360.166667,827.6842105,0,0,8,2,1,1,7,7,4,3,2
1973,2,2,6,-0.144192018,1261.016667,120,0,0,0,15.83333333,1.666666667,0.833333333,4,4,3,5,1,11,7,1,2,2,1,4,1543.35,1156.525,1165.9,1271.9,1543.35,1156.525,1165.9,1271.9,0,0,0,0,1,1,14,14,3,7,1
1961,1,2,6,-0.144132291,862.875,120,10,0,0,5.833333333,0,0,6,4,4,4,2,8,7,1,1,2,1,0,868.8,821.675,1158.2,753.45,808.0526316,731.1351351,812.6666667,707.4864865,1,3,5,3,1,1,5,5,2,3,1
1987,1,2,6,-0.144099043,1010.5,120,5.833333333,0,0,1.666666667,0,0,7,6,3,5,1,4,8,1,1,2,1,0,1032.3,966.85,1110.55,993.225,912.5882353,901.1111111,1110.55,993.225,3,4,0,0,1,1,6,6,2,7,2
2000,1,2,3,-0.144029774,1077.691667,120,5,0,0,7.5,1.666666667,0.833333333,6,4,4,5,2,7,1,1,2,2,1,0,1005.05,1072.1,1195.6,1060.65,1005.05,866.6410256,1003.611111,998.5945946,0,1,2,3,1,1,5,5,4,6,2
1994,2,2,6,-0.14389622,724.6166667,120,4.166666667,0,0,0,0,0,4,3,3,4,2,2,11,1,1,2,1,0,634.75,775.9,712.4,724.375,634.75,727.6111111,712.4,708.8205128,0,4,0,1,1,1,9,9,6,5,2
1990,2,2,6,-0.143745831,599.8,120,8.333333333,0,5,0,0,0,4,4,4,4,2,5,11,1,1,2,1,0,726.85,557.425,626.3,565.4,609.3529412,532.0263158,576.5555556,526.5405405,3,2,2,3,1,1,12,12,7,7,1
1978,2,2,6,-0.143710357,694.0666667,120,2.5,0,0,0,0,0,5,4,3,4,1,3,7,1,1,2,1,0,777.5,665.25,714.3,671.05,777.5,665.25,714.3,627.4324324,0,0,0,3,1,1,14,14,6,2,3
1984,2,2,6,-0.142921618,1225.908333,120,5,0,0,12.5,5,0.833333333,4,4,4,5,1,9,7,1,1,1,1,0,1299.5,1108.925,1497.3,1170.4,1048.105263,996.6315789,1427,1164.763158,1,2,1,2,1,1,12,12,6,3,3
2007,1,2,6,-0.142918822,919.9,120,7.5,0,0,5,3.333333333,2.5,4,4,4,5,2,11,1,1,1,2,1,0,1048.9,890.7,786.15,951.475,874.8947368,813,748.2941176,940.8684211,1,3,3,2,1,1,1,1,4,2,3
2000,1,1,7,-0.14281572,937.0916667,120,9.166666667,0,0,4.166666667,0.833333333,0.833333333,5,7,5,5,2,4,2,1,2,2,1,4,1232.45,854.1,935.85,873.025,946.5882353,785.2972973,818.6111111,854.3243243,3,3,2,3,64,1,5,5,5,2,3
1970,1,2,6,-0.142804237,1409.55,120,1.666666667,0,0,19.16666667,6.666666667,0.833333333,6,4,4,5,1,11,11,1,1,2,1,0,1928.65,1243.9,1461.8,1289.525,1928.65,1188.846154,1461.8,1242.641026,0,1,0,1,1,1,7,7,1,3,3
2001,2,2,6,-0.142786497,830.8166667,120,12.5,0,2.5,5.833333333,3.333333333,0.833333333,5,3,4,5,2,4,2,1,1,2,1,0,1076.75,719.6,777.15,845.9,1082.444444,690.5833333,751.6666667,788.6060606,2,4,2,7,1,1,5,5,3,3,3
1967,2,2,6,-0.142713907,1024.45,120,0,0,0,1.666666667,0,0,4,4,4,2,2,11,11,1,1,2,1,0,1155.1,975.65,1034.45,1002.925,1155.1,975.65,1034.45,1002.925,0,0,0,0,1,1,10,10,6,3,2
1995,1,2,3,-0.142399521,744.0916667,120,7.5,0,0.833333333,0.833333333,0,0,4,4,4,4,2,4,11,1,1,2,1,0,655.05,786.9,761.8,736.95,655.05,767.7027027,743,681.6285714,0,3,1,5,1,1,7,7,5,2,2
1994,2,1,6,-0.142260543,2479.133333,120,11.66666667,0,0,32.5,19.16666667,11.66666667,3,2,4,5,2,7,4,1,1,2,1,1,1939,2079.435897,2733.3,1359.85,1562.444444,1790.576923,2733.3,1359.85,1,13,0,0,1,1,6,6,6,3,4
1985,1,3,2,-0.142223483,902.3333333,120,5.833333333,0,0,1.666666667,0,0,6,2,5,5,1,1,4,2,2,1,1,0,1000.4,891.875,975.7,827.075,953.1666667,868,957.2105263,815.3157895,2,2,1,2,101,14,7,7,4,1,3
1978,1,2,6,-0.142042446,1050.108333,120,0.833333333,0,0,4.166666667,0,0,5,4,3,5,1,4,6,1,1,2,1,0,1342.95,879.275,1072.95,1063.1,1342.95,879.275,1072.95,1026.384615,0,0,0,1,1,1,9,9,2,3,4
1997,1,3,8,-0.141990108,1293.525,120,3.333333333,0,0,11.66666667,6.666666667,3.333333333,4,3,5,5,2,5,2,1,1,4,1,1,1628.2,1037.6,1766.55,1145.6,1628.2,1037.6,1766.55,1109.722222,0,0,0,4,1,1,5,5,4,3,2
1983,1,2,6,-0.141938116,930.9,120,2.5,0,0,4.166666667,1.666666667,0,4,4,4,4,2,5,7,6,1,6,1,1,1173.5,855.525,1167.15,766.85,1173.5,841.7692308,1136.222222,766.85,0,1,2,0,106,1,12,12,6,7,1
1980,2,2,6,-0.141904089,658.2583333,120,4.166666667,0,5,0.833333333,0,0,4,4,4,5,1,6,6,1,2,2,1,0,707.15,605.2,705.55,663.225,568.8823529,565.7368421,705.55,663.225,3,2,0,0,1,1,10,10,5,3,3
1999,2,2,2,-0.141871335,871.5916667,120,7.5,0,4.166666667,3.333333333,3.333333333,1.666666667,6,4,5,5,2,5,1,2,1,5,2,0,828.4,798.575,878.8,962.6,819.1111111,798.0512821,871.6315789,921.1142857,2,1,1,5,1,1,5,5,6,7,1
1987,2,2,6,-0.141856325,794.9833333,120,4.166666667,0,0,0.833333333,0,0,5,3,3,4,2,5,11,1,1,2,1,0,731.7,800.175,754.35,841.75,731.7,731.8918919,754.35,772.7894737,0,3,0,2,207,207,9,9,5,7,1
1989,2,2,8,-0.14174462,981.725,120,1.666666667,0,0,5.833333333,0,0,4,4,5,5,1,4,4,5,1,1,1,2,1023.75,895.85,993.25,1040.825,1023.75,895.85,993.25,962.7894737,0,0,0,2,1,1,6,6,6,7,1
1971,2,2,6,-0.141593761,846.6416667,120,10,0,1.666666667,3.333333333,0.833333333,0.833333333,4,3,5,2,2,11,7,1,1,2,1,0,981.05,708.475,690,995.925,981.05,708.475,671.6315789,787.2413793,0,0,1,11,14,14,8,8,7,7,1
1989,2,2,6,-0.141419894,912.8083333,120,3.333333333,0,0,5,2.5,0.833333333,4,4,4,4,2,4,11,1,1,5,2,0,1226.7,824.875,788.5,905.95,1122.105263,824.875,788.5,781.1351351,1,0,0,3,1,1,8,8,6,7,1
1969,2,2,6,-0.141261055,797.2416667,120,0,0,0,1.666666667,0,0,4,4,4,4,1,11,11,1,2,2,2,4,831.75,739.875,849.75,811.1,831.75,739.875,849.75,811.1,0,0,0,0,153,1,14,14,5,2,1
1998,2,2,6,-0.141008786,1035.841667,120,5,0,0,2.5,0,0,4,4,4,4,2,2,1,1,1,1,1,1,1064.75,985.125,1181.35,999.35,1064.75,941.8918919,1145.736842,977.8421053,0,3,1,2,225,225,7,7,6,7,1
1983,2,1,6,-0.140735166,1115.791667,120,0.833333333,0,0,2.5,1.666666667,0.833333333,5,3,3,2,2,3,11,1,2,2,1,0,1182,1008.775,1169.75,1162.725,1182,993.5641026,1169.75,1162.725,0,1,0,0,1,1,7,7,4,7,1
1995,1,2,6,-0.140456927,1500.766667,120,6.666666667,0,0,15,5,3.333333333,4,4,4,4,2,1,2,1,2,2,1,0,2257.65,1242.175,1477.5,1392.55,1664.388889,1147.621622,1127.611111,1258.435897,2,3,2,1,218,218,12,12,4,6,2
1984,2,2,6,-0.140416895,867.5916667,120,9.166666667,0,0,5,3.333333333,2.5,4,5,5,2,1,11,9,1,1,5,2,0,1499.4,689.325,849.95,738.775,893.3125,675.0769231,747.2777778,678.9444444,4,1,2,4,39,39,8,8,3,2,1
1998,2,2,6,-0.140307061,1309.375,120,6.666666667,0,0,16.66666667,7.5,3.333333333,5,3,3,1,2,3,4,5,1,5,1,1,1300.2,1246.35,1547.75,1257.8,1300.2,1187.75,1547.75,1097.611111,0,4,0,4,1,1,6,6,7,7,1
1997,2,2,5,-0.140115455,915.45,120,8.333333333,0,1.666666667,6.666666667,1.666666667,0,6,2,5,3,2,2,6,1,1,4,1,2,987.3,809.95,963.95,960.775,812.3888889,774.5526316,751.4444444,866.4444444,2,2,2,4,1,1,8,8,6,7,1
1988,2,2,2,-0.139871261,845.5916667,120,5,0,0,3.333333333,0,0,5,4,4,5,2,3,11,1,2,2,1,1,972.5,749.35,1045.55,778.4,909.2777778,710.3783784,1045.55,768.7948718,2,3,0,1,1,1,12,12,4,7,1
1989,1,2,6,-0.139842642,906.3666667,120,0.833333333,0,0,1.666666667,0,0,4,4,4,4,2,11,7,1,1,2,1,0,1315.25,734.075,1026.2,814.3,1315.25,734.075,994.5789474,814.3,0,0,1,0,225,225,9,9,4,7,1
1963,1,2,6,-0.13959082,1302.708333,120,3.333333333,0,0,10,1.666666667,0.833333333,3,7,4,5,2,11,11,1,1,2,1,0,1503.05,1142.85,1548.85,1239.325,1357.105263,1114.421053,1541.105263,1239.325,1,2,1,0,1,1,5,5,5,3,1
1990,1,2,6,-0.13919542,1540.525,120,13.33333333,0,0,20,10,5,4,4,3,4,2,3,8,1,2,2,1,1,2208.55,1262.85,1505.25,1501.825,2240.529412,1166.25,1377.941176,1500.764706,3,4,3,6,12,12,7,7,6,7,1
2001,1,1,7,-0.1389695,885.3416667,120,0.833333333,0,0.833333333,3.333333333,0.833333333,0.833333333,4,5,4,4,2,5,2,1,1,2,1,3,1113.9,860.2,1090.85,693.45,1113.9,706.5897436,1090.85,693.45,0,1,0,0,48,1,4,4,4,2,2
1998,1,1,8,-0.138857305,743.0666667,120,4.166666667,0,3.333333333,0.833333333,0,0,4,3,4,4,2,2,1,1,2,2,1,4,765.35,704.825,874.75,704.325,765.35,695.0263158,874.75,686.027027,0,2,0,3,44,44,5,5,6,7,1
1998,2,2,6,-0.138839585,668.9,120,15.83333333,0,5,0,0,0,4,4,5,3,2,3,5,1,1,2,1,4,752.75,645.625,678.65,645.375,672.75,605.8285714,633.7222222,583.125,4,5,2,8,1,1,5,5,6,7,1
1982,2,2,6,-0.138736066,1248.733333,120,1.666666667,0,0,10,3.333333333,2.5,4,4,5,5,2,11,11,1,1,2,1,0,1663.65,1125.725,1472.1,1052.6,1344.631579,1029.358974,1472.1,1052.6,1,1,0,0,1,1,7,7,2,2,2
1993,1,2,6,-0.138564781,787.6416667,120,7.5,0,0,0.833333333,0,0,6,3,4,3,2,11,7,1,1,2,1,0,747.2,789.325,830.5,784.75,703.1764706,770.7837838,830.5,739.0540541,3,3,0,3,1,1,9,9,7,7,1
1998,1,1,6,-0.138459271,1354.825,120,4.166666667,0,0,14.16666667,5.833333333,1.666666667,4,4,3,4,2,5,2,1,1,2,1,3,1644.75,1240.275,1241.2,1381.225,1644.75,1166.763158,1229.736842,1353.552632,0,2,1,2,1,1,7,7,7,8,2
