birthyear,birthSex,ethnicityomb,raceomb_002,dscore,assocareer,assofamily,impcareer,impfamily,num_childunder18,anninc,percentanninc,primary1,num_primary1a,secondary1,num_secondary1a,surnameused,countrycit_num,countryres_num,edu,politicalid_7,religion2014,religionid
1992,1,1,7,-0.933189763,4,4,3,4,,,,,,5,2,,1,1,,5,8,1
1956,2,2,6,-0.930650274,4,4,4,5,2,11,4,1,2,2,1,4,1,1,7,6,3,3
1990,2,2,6,-0.928412581,4,3,4,4,2,8,8,1,1,2,1,0,1,1,7,3,3,2
2000,2,1,,-0.928125935,5,4,3,3,,,,1,1,2,1,,1,1,5,4,2,2
,1,2,7,-0.92142833,4,4,4,4,2,3,,1,1,2,1,0,39,39,9,6,2,2
1963,1,2,6,-0.902263613,4,4,3,5,2,11,7,1,1,2,1,0,1,1,12,7,7,1
1950,1,2,6,-0.90040547,4,4,5,4,2,10,7,1,2,2,1,0,1,1,11,6,7,3
1995,2,1,6,-0.899902854,4,3,4,5,2,11,1,1,1,2,1,0,1,1,7,6,2,2
1986,1,1,1,-0.893879343,4,5,4,4,1,2,5,1,1,6,2,0,1,1,7,2,2,3
1996,1,2,8,-0.893326677,4,4,3,5,2,6,11,7,2,7,,3,1,1,8,7,1,3
1985,2,2,6,-0.892835413,4,3,5,2,2,4,9,1,1,2,1,1,1,1,9,7,5,2
,2,2,6,-0.892240767,4,4,4,4,2,,,1,1,2,1,0,1,1,5,2,7,2
2001,2,1,7,-0.890545911,,,,,2,4,3,1,1,5,1,4,,,,,,
1958,2,3,6,-0.882819959,4,1,4,5,2,4,11,1,2,6,2,4,1,1,8,6,3,2
1995,1,1,6,-0.880806824,6,5,4,4,2,4,2,5,2,1,1,0,1,1,7,6,2,1
1967,2,2,6,-0.874733598,4,3,4,5,2,5,11,1,1,2,1,4,1,1,7,7,7,1
2002,2,2,6,-0.867050592,5,3,4,3,2,3,1,1,1,2,1,2,74,74,3,6,2,1
,1,,,-0.851911707,4,4,3,5,1,4,9,1,1,2,1,0,,,,7,8,1
1970,1,3,3,-0.851863904,7,7,4,5,1,3,2,7,,7,,0,170,1,4,4,2,4
1977,1,2,6,-0.851818179,6,5,4,3,1,9,11,1,2,2,1,0,1,1,14,2,7,1
1993,2,2,5,-0.850885996,4,3,4,5,2,1,1,1,1,2,1,1,1,1,7,5,3,3
1970,2,3,2,-0.8469671,4,4,3,3,2,2,11,1,2,5,2,0,170,170,8,5,2,1
1968,2,2,2,-0.844514532,4,3,4,4,2,8,5,1,2,2,1,0,1,1,7,7,7,1
,2,,8,-0.843815777,,,5,4,2,,,,,,,,1,1,,1,3,4
1992,1,2,3,-0.842376259,4,4,3,3,2,6,11,7,,7,,2,1,1,11,4,7,1
