birthyear,birthSex,ethnicityomb,raceomb_002,dscore,assocareer,assofamily,impcareer,impfamily,num_childunder18,anninc,percentanninc,primary1,num_primary1a,secondary1,num_secondary1a,surnameused,countrycit_num,countryres_num,edu,politicalid_7,religion2014,religionid
1969,1,,6,0.050530003,4,4,4,4,1,6,6,1,2,2,1,0,104,104,9,4,2,2
2008,2,2,7,0.050535688,3,3,5,4,2,5,9,1,1,2,1,1,232,232,2,3,1,1
1990,2,2,3,0.050538612,2,2,4,4,1,4,3,1,2,2,1,0,100,100,14,6,8,2
2003,2,1,7,0.050644232,4,4,4,5,2,3,1,,,5,1,0,1,1,3,4,2,3
1991,2,1,8,0.050738988,4,4,5,3,1,3,11,2,1,1,1,1,1,1,8,4,2,2
1974,2,2,6,0.050858394,5,5,5,5,1,11,7,5,1,1,1,4,34,104,11,6,2,2
,2,2,6,0.050909951,1,1,4,5,1,4,11,1,1,2,1,0,1,1,9,6,7,2
2003,1,2,6,0.050930803,,,,,2,,1,,,,,0,1,1,3,4,2,3
1998,2,3,3,0.050993623,2,5,5,4,1,,2,5,2,5,2,1,170,170,7,4,2,2
2003,1,2,6,0.051087479,5,2,4,5,2,,,1,1,2,1,0,172,172,4,2,2,4
2002,2,2,6,0.051150408,4,4,3,3,2,11,1,1,1,2,1,0,1,1,3,6,7,1
1980,2,2,6,0.051240092,4,4,5,4,2,4,11,1,1,2,1,3,1,1,14,6,7,1
1998,1,2,6,0.051243891,6,2,4,4,2,3,6,7,,7,,0,39,39,7,2,7,1
1977,2,2,6,0.051256018,4,4,3,4,1,2,7,1,2,2,1,1,106,106,8,6,7,2
1977,2,3,2,0.051279669,4,5,3,3,2,5,6,7,,7,,0,212,212,9,5,1,2
1971,1,2,6,0.051288449,4,4,4,4,2,9,11,1,2,2,1,0,1,1,9,5,7,1
2000,2,2,6,0.051295721,5,4,4,4,2,9,2,1,1,2,1,0,1,1,5,6,2,2
1991,2,,,0.051312437,4,4,3,4,2,,6,,,,,,,,,7,7,1
2003,2,2,6,0.051439652,4,5,5,5,2,,1,1,2,2,1,0,1,1,3,4,2,3
1959,1,3,6,0.051663991,7,7,3,5,2,3,2,5,1,1,1,0,1,1,5,1,3,4
1999,2,2,5,0.05170155,1,4,4,5,2,,,6,1,6,1,0,1,1,5,,7,1
,1,2,6,0.051786352,4,4,3,5,1,,,1,2,7,,0,1,1,12,7,7,2
2002,2,2,6,0.051837715,4,3,4,4,2,4,1,1,1,2,1,0,1,1,4,6,2,2
1998,2,3,6,0.051840046,4,3,3,4,2,7,1,1,2,2,1,0,155,,,4,7,1
1998,2,2,6,0.051919959,4,4,5,4,1,1,11,1,2,2,1,0,82,1,4,4,6,3
1991,2,2,6,0.051929198,5,3,4,4,2,3,11,1,2,2,1,0,153,153,9,5,7,1
1983,1,1,7,0.051998045,4,4,3,5,2,1,3,7,,7,,1,31,31,4,4,3,3
1963,2,2,6,0.052056175,4,4,3,5,1,4,8,1,1,2,1,4,1,1,9,2,3,4
1970,2,2,6,0.052058066,5,5,4,5,1,4,3,1,1,2,1,0,1,1,8,5,2,3
1999,2,2,5,0.052193725,4,4,4,4,2,5,2,1,1,2,1,2,1,1,5,6,2,3
1988,2,2,6,0.052287727,2,3,4,5,2,10,8,1,1,2,1,0,1,1,7,4,2,3
1983,2,2,6,0.05239208,4,4,3,3,1,5,11,1,1,2,1,0,1,197,9,6,7,1
2000,1,2,6,0.052487893,4,3,4,3,2,,,1,1,2,1,0,153,153,6,6,7,1
2000,2,2,3,0.052499139,4,2,5,4,2,3,2,1,2,5,1,0,170,170,4,6,3,3
2000,2,2,6,0.052506363,5,4,3,5,2,11,1,1,2,2,1,0,1,1,5,4,2,1
1976,2,2,6,0.052512666,3,2,4,5,2,5,6,1,1,2,1,0,1,1,6,2,3,3
2001,2,3,3,0.052524554,2,6,4,5,2,3,1,1,1,2,1,1,14,14,5,5,6,4
1998,2,2,6,0.052531345,4,3,4,5,2,6,1,1,1,2,1,0,1,1,5,7,2,2
,,,,0.052679625,5,6,5,2,,,,,,,,,,,,,,
1995,2,2,6,0.052682874,4,4,4,2,2,2,6,1,1,2,1,1,197,197,7,6,7,1
1999,2,2,,0.05275912,4,4,4,4,2,11,1,6,1,6,1,1,45,108,4,7,7,2
1973,1,2,6,0.05277677,5,4,4,4,1,11,11,1,2,2,1,0,1,1,12,6,5,2
1993,1,2,8,0.05279292,4,4,3,5,2,2,3,1,1,2,1,0,218,218,7,6,6,2
1999,2,1,7,0.052874173,5,3,3,4,2,,1,1,1,2,1,,48,44,5,5,7,1
1991,2,3,2,0.052939192,4,4,5,5,2,7,7,1,1,2,1,0,130,130,7,5,1,2
1975,1,2,6,0.053091629,4,4,3,4,2,11,11,1,1,2,1,0,1,1,7,3,2,2
1987,2,2,6,0.053149184,4,4,4,5,2,7,8,1,1,2,1,0,39,39,9,7,7,1
1990,1,2,6,0.053151534,4,2,5,5,2,5,4,1,1,4,1,1,1,1,5,6,3,2
1978,1,1,6,0.053189174,4,4,4,1,2,,,,,,,1,106,106,13,3,2,3
2001,1,2,2,0.053365768,4,4,4,5,2,11,2,1,1,2,1,1,1,1,4,6,3,3
1977,1,2,6,0.05350863,4,4,4,5,1,7,11,1,1,2,1,0,1,1,7,4,7,1
1992,2,1,6,0.053551573,4,4,5,5,2,6,11,1,2,2,1,1,31,1,9,5,2,1
2006,1,3,6,0.053649701,7,2,4,3,,6,,1,1,2,1,0,1,1,2,3,7,1
1974,2,2,6,0.053674261,6,5,4,5,1,10,2,1,1,5,2,0,1,1,7,7,7,2
1945,1,2,6,0.053677198,6,2,4,4,2,6,10,1,2,2,1,0,206,206,12,2,3,2
1999,2,2,6,0.053692848,1,1,4,5,2,7,1,1,1,2,1,0,1,1,5,3,2,2
2002,1,2,5,0.053739247,7,7,4,4,2,2,1,1,2,2,2,0,1,1,4,6,2,4
1975,2,2,6,0.053753256,4,4,4,3,2,8,10,7,,7,,0,59,59,9,7,7,1
1986,2,2,6,0.053775737,5,3,4,4,2,7,7,1,1,2,1,0,225,225,7,6,7,1
1989,2,2,6,0.053783338,5,4,4,4,1,5,11,1,2,2,1,0,1,1,8,5,2,2
1980,1,2,3,0.053901786,6,2,4,5,1,,9,1,1,2,1,1,201,201,14,6,1,3
1970,1,2,,0.053917753,4,4,5,5,2,7,6,1,1,2,1,0,1,1,5,6,3,3
1989,2,2,6,0.053951066,4,4,4,4,2,1,11,1,2,2,1,0,225,225,9,7,7,1
1986,2,1,6,0.053975055,4,4,4,4,2,5,7,1,2,2,1,4,53,53,9,4,2,2
1967,2,2,6,0.054043382,6,4,4,4,2,6,11,1,1,2,1,0,14,14,7,6,7,1
1999,2,2,6,0.054196733,4,4,4,5,2,1,2,1,1,2,1,0,218,82,7,7,7,1
1991,1,2,6,0.054217716,4,2,4,4,2,5,5,1,1,2,1,0,1,1,6,6,7,1
1977,2,2,6,0.05422174,4,3,4,4,2,11,11,1,1,2,1,0,1,1,7,6,7,2
1998,2,2,5,0.054298114,4,3,5,4,2,5,2,1,1,7,,1,1,1,7,6,3,2
1958,1,2,6,0.054311257,5,4,3,4,2,9,11,1,1,2,1,0,1,1,14,3,2,3
,2,,,0.054335721,4,4,5,5,1,6,1,1,2,2,1,1,,,,,,
,1,,,0.054361116,4,2,4,5,2,5,11,1,1,2,1,0,1,1,9,4,,
1998,1,2,6,0.054382123,4,4,4,5,2,4,3,1,1,2,1,0,1,1,5,5,3,4
2002,1,2,6,0.054457065,7,7,5,4,2,1,4,1,1,4,1,1,1,1,5,4,7,2
1988,2,2,6,0.054516894,3,3,3,4,2,1,11,1,1,2,1,0,39,39,9,7,7,2
1983,2,2,6,0.054518051,4,4,4,4,2,,6,1,1,2,1,0,75,162,9,4,7,1
1996,1,2,2,0.054553501,4,4,4,3,2,2,11,1,1,2,1,0,1,1,5,4,7,1
1985,2,2,6,0.054581637,4,4,5,5,2,4,11,1,1,2,1,4,1,1,9,2,3,2
,2,,,0.054595919,5,3,5,5,2,,,1,2,2,1,,,,7,5,5,2
1978,2,2,5,0.054654229,4,4,4,5,1,3,11,1,1,5,2,0,1,1,5,4,3,3
1990,2,2,,0.054711249,4,3,5,4,2,1,11,7,,7,,0,1,1,8,4,7,1
2004,1,2,6,0.054746322,4,4,5,5,2,1,2,7,,7,,0,75,192,,3,2,3
1977,2,2,6,0.054780725,4,4,5,4,1,8,6,1,1,2,1,0,1,1,12,6,5,3
1991,2,1,6,0.054787947,3,3,5,4,,,,5,2,7,,,1,1,5,4,,3
1986,1,3,7,0.055051798,7,7,3,3,2,2,11,1,2,2,1,1,102,1,9,6,7,1
1982,1,2,6,0.055120664,6,3,4,4,2,8,11,2,1,1,1,0,82,82,9,3,2,3
1994,2,1,7,0.055129775,7,7,5,3,2,1,6,1,1,7,,1,1,1,5,4,3,3
1999,2,1,6,0.055358378,4,4,5,5,2,3,1,1,1,6,2,1,1,1,7,6,2,2
2001,2,2,6,0.055374433,2,2,5,5,2,,1,1,2,2,1,0,225,1,5,7,2,3
1970,1,2,6,0.055425966,5,3,2,4,2,11,5,1,1,2,1,0,1,1,9,2,7,1
2009,2,2,6,0.055513818,4,3,4,4,2,8,2,1,1,2,1,0,1,1,1,4,3,1
2002,2,2,6,0.055536803,4,4,5,5,2,11,1,1,1,2,1,0,1,225,,7,3,3
2000,2,2,6,0.05554754,4,4,4,5,2,11,1,1,1,2,1,0,1,1,5,6,5,2
1993,1,2,6,0.055646591,4,4,4,4,2,1,11,7,,7,,1,81,82,9,6,7,1
1976,1,2,6,0.055671111,5,4,3,5,1,3,9,1,2,2,1,0,1,1,9,2,3,4
2005,2,,6,0.055719946,2,1,5,5,2,4,1,1,1,2,1,0,1,1,3,6,3,2
2001,1,2,6,0.055759315,4,4,4,3,2,10,1,1,1,2,1,0,1,1,5,4,3,1
,2,,,0.055834425,5,3,4,5,1,11,8,1,1,2,1,0,1,1,14,7,7,1
1992,1,2,6,0.055924252,4,5,4,4,2,2,7,5,2,1,1,0,223,223,9,,2,3
2001,1,2,,0.05604459,4,4,3,5,2,8,1,1,2,7,,1,1,1,5,4,3,2
,2,,6,0.056082149,4,2,5,5,1,10,7,1,1,4,1,0,1,1,14,1,3,4
,,,,0.056130441,4,4,4,5,,,,,,,,,,,,,,
1976,1,2,6,0.056135199,4,4,5,5,1,9,9,1,1,2,1,0,1,1,9,5,7,1
1984,2,2,6,0.056183575,4,3,2,3,2,3,11,1,1,2,1,0,225,1,7,7,7,1
,2,,,0.056191416,4,6,4,4,2,,1,1,2,2,1,,1,1,,4,5,2
1967,2,2,6,0.05619144,4,4,5,5,2,9,6,1,1,7,,0,1,1,9,4,3,3
1988,1,2,2,0.056206005,5,4,3,4,1,10,9,1,1,2,1,0,39,1,7,4,7,1
1999,2,1,1,0.056247162,4,1,3,3,2,3,1,2,1,5,2,1,1,1,5,6,2,2
1987,1,2,8,0.056266025,4,3,4,2,2,6,11,1,1,2,1,0,225,225,7,6,7,1
1994,2,2,6,0.05627001,1,4,4,5,2,4,5,1,1,2,1,0,1,1,7,7,7,2
1997,2,1,6,0.056306803,3,3,4,4,2,8,2,1,1,5,1,0,1,1,6,5,2,2
1971,2,2,6,0.056442658,4,4,5,5,2,,11,1,2,2,1,4,1,1,11,2,7,1
2001,1,2,6,0.056459633,4,4,5,4,2,6,1,1,1,2,1,0,1,1,5,4,7,1
2001,2,2,6,0.056475297,4,3,5,5,2,1,2,1,1,7,,3,1,1,5,7,7,1
1989,2,2,6,0.056544096,4,1,5,5,1,5,8,1,1,2,1,1,1,1,7,4,3,3
1989,2,,2,0.056584561,5,4,4,5,2,5,1,1,2,2,1,1,113,1,8,3,3,4
2009,2,2,6,0.056714114,4,4,4,5,2,,1,1,1,2,1,0,1,1,1,,2,2
1995,2,1,7,0.056722831,4,2,5,3,2,2,2,1,1,2,1,0,1,1,8,4,3,2
1997,2,2,6,0.056723446,2,2,3,4,2,2,2,1,2,2,1,0,1,1,7,7,7,1
1992,2,2,6,0.056742564,4,4,5,5,2,6,6,1,1,2,1,1,1,1,9,7,8,3
1995,2,1,7,0.056884026,7,5,4,4,2,3,1,1,1,6,2,3,1,1,6,6,8,2
2000,2,2,6,0.056902164,4,4,3,5,2,2,1,1,1,5,1,1,1,1,4,4,2,3
2000,2,2,6,0.056902483,6,2,5,5,2,10,1,1,1,2,1,0,1,1,5,4,2,2
1972,1,2,6,0.056949583,4,4,3,4,1,4,8,1,1,2,1,0,225,225,5,5,3,2
2000,2,1,6,0.056950889,4,2,5,5,2,2,2,1,1,2,1,1,1,1,4,6,2,3
1998,2,2,6,0.057017273,2,1,3,4,2,2,11,1,2,4,1,1,1,1,8,5,3,2
1996,2,3,,0.057053515,4,1,4,5,,1,2,7,,7,,4,100,100,9,4,4,1
1982,1,3,6,0.05706933,6,4,4,5,1,5,11,1,1,2,1,0,1,1,5,3,7,1
1976,2,2,3,0.057124984,4,2,4,5,1,8,7,1,1,6,2,0,170,1,7,5,2,3
1992,2,2,6,0.057163413,4,2,3,4,2,10,6,1,1,2,1,0,1,1,9,4,7,1
1987,2,2,6,0.057180406,4,4,4,3,2,2,6,1,1,2,1,1,85,193,9,6,8,1
1983,2,2,6,0.057185532,4,2,3,5,1,4,4,1,1,7,,2,1,1,6,4,7,2
1996,2,1,7,0.057345834,4,2,5,5,2,,,1,1,2,1,3,48,48,7,4,7,1
,2,,,0.057445106,5,1,4,4,2,6,11,1,1,7,,0,,,,,,
2002,2,1,6,0.057451961,5,3,4,5,2,1,2,7,,7,,0,1,1,4,4,7,1
1965,2,,6,0.057517758,4,6,3,4,2,3,7,1,1,2,1,1,39,39,5,6,7,1
1996,1,2,3,0.057565635,4,7,3,2,2,3,1,1,2,2,1,0,100,100,9,7,1,2
2000,2,2,6,0.057591211,6,2,5,5,2,5,1,1,1,2,1,0,1,1,5,6,2,4
1993,2,2,6,0.05760848,4,3,4,3,2,3,6,2,1,1,2,0,1,1,7,7,7,2
1994,1,2,6,0.057861884,4,4,4,4,2,2,,1,1,2,1,0,1,1,7,7,7,1
1976,2,2,,0.057882531,1,2,2,2,1,11,11,1,1,2,1,1,1,1,7,2,2,3
1985,1,2,6,0.057926485,4,4,4,4,1,4,2,1,1,2,1,0,1,1,8,4,3,2
1974,1,2,6,0.058023379,5,3,2,2,2,9,9,1,1,2,1,0,1,1,12,7,7,1
1990,2,3,3,0.058023595,4,4,5,5,2,6,8,1,1,2,1,0,130,130,7,4,6,3
2005,2,2,2,0.058045844,4,4,5,5,2,10,1,1,1,2,1,1,39,39,3,3,7,1
1990,1,2,5,0.058116318,1,1,3,3,2,3,1,1,1,7,,0,1,1,7,4,2,4
2001,2,2,,0.058228859,4,4,1,2,2,1,11,1,2,2,1,0,1,1,5,6,8,2
,,,,0.058255223,4,4,4,4,2,4,5,1,2,7,,4,,,,,,
1990,2,2,6,0.058321738,2,3,4,5,2,4,5,1,2,2,1,0,1,1,8,6,3,3
1998,1,2,6,0.058357703,4,7,5,5,2,10,1,1,1,2,1,0,1,1,5,4,2,1
1995,1,2,6,0.058443965,4,4,4,5,2,4,11,1,2,2,1,0,1,1,8,2,2,2
1968,1,2,6,0.05847841,4,4,2,4,1,7,11,1,1,2,1,0,1,1,12,4,7,1
,2,2,3,0.058614778,4,4,5,3,2,7,4,1,2,2,1,0,1,1,8,7,4,2
1970,1,2,6,0.058660822,4,4,3,5,1,9,6,1,1,2,1,0,39,39,7,7,7,1
1999,2,1,6,0.05874185,3,4,5,5,2,6,1,2,1,1,2,0,1,1,5,7,7,1
1993,2,2,6,0.058773057,4,4,5,5,2,4,11,1,1,2,1,1,1,1,7,6,3,2
2000,2,2,3,0.058789712,1,2,4,5,2,6,2,1,1,2,1,0,1,1,6,6,7,2
1999,2,2,6,0.058904647,4,4,5,5,2,11,1,1,2,2,1,0,1,1,5,6,7,1
1991,1,3,6,0.058922621,5,4,5,5,2,8,11,2,1,1,1,0,1,1,9,3,2,2
2000,2,1,6,0.059097175,5,4,5,5,2,10,1,1,1,2,1,0,1,1,4,6,2,2
,1,,,0.059214554,,,,,2,,,,,,,,,,8,,,
1961,2,2,6,0.059502103,5,3,2,5,1,10,3,1,2,2,1,0,1,1,8,6,8,2
2003,2,1,1,0.059508221,4,4,5,5,2,10,7,7,,7,,1,1,1,3,4,3,3
1971,1,2,6,0.059561053,4,4,4,5,1,9,11,1,1,2,1,0,1,1,9,6,7,2
1999,2,2,6,0.05962386,4,3,4,4,2,4,1,1,1,2,1,0,14,14,5,4,7,1
1978,2,2,,0.059653501,4,4,4,5,1,11,7,1,2,2,1,0,1,1,10,6,2,3
2002,2,2,6,0.059680404,4,1,5,5,2,6,1,1,2,2,1,0,1,1,3,6,7,1
1959,2,2,6,0.059711687,4,4,4,5,2,9,4,1,1,2,1,4,1,1,7,2,3,3
1996,1,2,6,0.059720511,5,4,3,3,2,2,11,2,2,1,1,1,1,1,8,7,7,1
1966,2,2,6,0.059765771,4,4,2,5,2,,,,,,,,1,1,,3,2,3
1989,2,2,8,0.059826708,6,2,4,3,2,4,11,1,1,2,1,0,216,216,9,6,3,3
1958,2,2,6,0.059855144,5,3,4,4,2,10,11,1,2,2,1,0,1,1,12,6,2,3
1985,2,2,2,0.059861879,,,,,,,,,,,,,,,,4,,
1983,2,2,6,0.059862912,5,4,4,4,2,7,,1,1,2,1,,,,7,5,2,3
1999,2,2,6,0.060016951,1,1,4,5,2,11,2,1,1,2,1,0,1,1,6,4,3,2
1998,2,1,7,0.060086389,5,4,4,4,2,3,2,1,1,2,1,0,1,1,5,6,2,2
2001,1,,,0.060122013,4,4,4,4,2,,2,7,,7,,0,1,1,5,4,2,3
1976,1,2,6,0.060159102,5,2,3,5,1,4,7,2,1,1,1,0,1,1,7,1,2,4
2001,2,1,6,0.060179648,4,3,4,3,2,6,1,1,1,2,1,1,1,1,5,6,7,2
1981,1,2,6,0.060242448,4,3,4,4,1,10,8,1,1,2,1,1,39,39,7,7,8,1
1998,2,2,6,0.060320916,6,4,4,4,2,2,11,6,1,6,1,1,1,1,5,4,2,2
1985,2,2,6,0.060415977,3,3,5,5,1,5,8,1,1,5,2,0,1,1,5,5,2,2
1997,2,2,6,0.060516057,4,3,5,5,2,10,2,1,1,2,1,0,1,1,6,4,3,3
1992,2,2,6,0.060528444,5,3,4,5,2,2,11,1,2,2,1,0,1,1,9,3,2,2
1995,1,3,3,0.060546036,6,4,5,5,2,1,11,1,1,2,1,1,100,39,14,5,8,4
1995,2,2,3,0.060620493,4,4,4,4,2,2,11,2,1,1,1,0,1,1,8,2,3,4
,2,,,0.06067062,4,4,4,5,2,,6,1,1,2,1,4,1,1,11,5,,2
1992,1,2,6,0.060703409,4,4,4,3,2,2,11,2,2,1,1,,1,1,5,4,7,1
1999,2,2,6,0.060733461,2,3,3,4,2,1,1,1,2,4,1,1,1,1,5,6,7,1
1993,2,2,6,0.060742071,6,2,4,5,2,1,2,1,1,2,1,0,1,1,6,4,2,3
1995,2,2,6,0.060744155,6,3,4,3,2,2,6,1,2,5,2,4,1,1,8,7,1,2
2003,2,2,6,0.060770214,4,4,4,5,2,2,2,1,1,2,1,4,1,1,5,2,3,3
1982,1,2,2,0.060898387,4,3,5,2,2,7,11,1,1,2,1,1,209,1,12,6,3,2
1985,2,1,7,0.060899545,4,4,5,5,1,5,11,1,1,7,,0,1,1,5,6,2,2
1993,2,2,6,0.060945157,4,4,4,4,2,3,11,2,1,1,1,1,1,1,8,5,3,3
1991,1,2,6,0.060947605,4,4,4,2,2,10,8,1,1,2,1,1,1,1,9,6,7,1
1969,2,2,,0.060959473,4,3,4,3,2,5,7,1,2,5,2,4,225,225,9,6,2,2
1996,2,2,6,0.061014502,4,1,3,3,2,5,2,1,1,2,1,0,1,1,7,2,2,3
1999,2,1,6,0.061110279,1,1,4,4,2,5,2,1,2,2,1,3,1,1,5,4,2,3
1995,2,2,6,0.061194867,4,4,5,5,2,4,5,1,2,2,1,0,1,1,5,6,3,4
1967,2,2,6,0.061300505,5,3,5,2,2,10,11,1,1,2,1,1,1,1,11,2,3,4
,,,,0.061402188,4,3,5,5,2,3,6,1,1,2,1,1,,,,,,
,2,,,0.061405585,4,4,5,3,2,,,1,1,2,1,0,,,,6,7,1
1993,1,2,6,0.061457938,1,1,3,3,2,1,11,1,2,2,1,0,1,1,9,7,7,1
2004,2,1,6,0.061464855,4,4,4,5,2,1,1,1,2,5,2,3,139,39,3,7,7,2
1994,1,2,6,0.061477794,5,3,4,5,2,1,7,1,1,2,1,1,218,218,7,,7,1
1990,1,2,5,0.061481853,4,4,4,5,1,3,5,1,1,2,1,2,1,1,7,4,7,1
2000,2,2,6,0.061499789,4,3,5,5,2,1,1,1,2,2,1,0,1,1,5,3,3,4
1998,2,1,6,0.061503063,4,3,4,5,2,1,11,1,1,7,,1,1,1,5,4,3,3
1997,2,2,6,0.061509811,5,5,4,4,2,,1,2,1,1,2,0,1,1,5,5,7,1
1998,2,2,2,0.061516126,4,4,4,3,2,4,4,1,1,2,1,1,1,1,7,7,7,1
1963,1,2,6,0.061555395,4,3,4,4,2,,8,1,2,2,1,,225,225,5,3,3,1
1996,2,2,6,0.061590352,4,2,3,5,2,4,8,1,1,2,1,0,1,1,7,5,2,2
2003,1,2,6,0.061608052,5,3,4,4,2,5,1,1,1,2,1,0,1,1,3,2,3,3
1998,2,2,6,0.061613916,5,3,4,5,2,3,5,1,1,2,1,0,1,1,8,2,3,3
2001,2,3,2,0.061702877,4,4,4,4,2,,,1,1,2,1,1,45,45,5,4,8,1
1994,1,2,6,0.06177574,4,4,4,2,2,6,7,1,2,2,1,0,1,1,7,7,7,1
2000,2,2,6,0.061812695,4,4,5,5,2,2,5,7,,7,,0,1,1,5,3,3,4
1984,2,3,7,0.061820274,7,1,5,3,2,3,9,2,1,1,2,1,146,59,14,5,7,1
1986,1,2,3,0.061898332,4,4,4,5,2,,,,,,,,100,,9,6,3,3
1997,1,2,6,0.0620384,4,5,5,5,2,1,2,7,,7,,4,1,1,6,4,2,3
2008,1,2,6,0.06219148,4,4,5,5,2,11,1,1,1,2,1,0,1,1,1,5,7,2
1996,2,2,6,0.062296099,4,3,4,4,2,2,11,1,2,7,,0,1,1,9,4,7,2
1989,1,1,6,0.062302287,5,4,3,4,2,11,6,1,2,5,1,0,173,82,9,3,2,1
2006,2,2,6,0.062370935,4,4,4,5,2,,1,1,1,2,1,0,1,1,1,6,2,3
1979,2,2,6,0.062386192,4,2,3,5,1,6,8,1,1,7,,0,1,1,7,4,3,1
,2,2,6,0.062449882,4,4,5,5,2,,1,1,1,2,1,0,173,173,4,4,2,4
1992,2,2,5,0.062902511,2,1,5,5,2,1,2,1,1,5,1,1,83,1,7,4,3,4
2001,2,3,6,0.062917324,4,4,5,5,2,1,1,1,1,2,1,0,1,1,4,4,7,1
1966,2,,6,0.062924092,4,3,5,2,2,6,9,1,1,2,1,4,1,15,9,7,2,3
1996,2,2,,0.062976798,4,4,4,4,2,6,3,7,,7,,0,1,1,7,6,2,2
2001,2,2,6,0.063043235,1,4,4,5,2,7,1,,,,,0,1,1,5,2,3,4
1956,2,2,6,0.063121071,5,1,3,5,2,6,7,1,1,,,,1,1,9,2,3,3
1968,1,2,6,0.063121904,4,4,4,4,1,7,8,1,2,2,1,0,1,1,12,7,8,3
1968,1,2,6,0.063139833,4,4,4,5,2,8,11,1,1,2,1,0,1,1,7,2,7,1
1997,2,1,7,0.063168423,1,2,5,4,2,2,3,1,2,2,1,0,1,1,8,7,7,1
1995,1,2,6,0.063189225,6,2,4,5,1,5,5,1,1,4,1,0,1,1,8,4,2,3
2002,2,2,6,0.063273767,5,4,4,5,2,10,1,1,1,2,1,0,1,1,4,5,3,1
1974,2,2,6,0.063288331,4,4,3,5,1,3,2,1,1,2,1,0,223,1,7,4,2,4
1997,2,2,6,0.063359531,4,4,4,5,2,5,1,1,1,2,1,1,1,1,7,6,8,2
1968,2,2,5,0.063469656,2,2,4,5,1,5,11,1,1,2,1,0,1,1,11,6,3,3
1975,2,2,,0.063477674,,,,,,,,,,,,,39,1,9,7,7,1
1992,2,2,6,0.063482233,6,1,2,4,2,5,5,1,2,2,1,0,75,75,12,4,2,2
1999,2,2,5,0.063504731,4,4,4,4,2,2,11,1,1,7,,0,1,1,6,6,2,2
1985,1,2,6,0.063523492,4,4,3,3,1,6,8,1,2,2,1,0,1,1,6,5,5,2
1995,2,2,6,0.063527961,4,4,3,4,2,7,3,1,1,7,,0,1,1,7,6,3,2
2003,2,2,6,0.063596784,5,3,4,4,2,,,1,1,2,1,0,1,1,3,6,7,1
2001,1,2,,0.063597469,4,3,5,3,2,1,1,1,1,2,1,0,170,170,4,5,2,2
1981,2,2,6,0.063599302,4,4,4,4,2,11,7,6,1,1,1,0,1,1,8,6,7,1
2003,1,2,,0.063737539,6,4,5,2,2,,,1,2,2,1,0,1,1,4,6,7,1
1995,2,1,6,0.06385254,5,3,4,5,2,2,11,1,1,2,1,0,1,1,8,7,2,2
1984,2,2,6,0.063876185,4,4,4,4,1,7,6,2,1,1,1,3,1,1,11,6,7,1
2000,2,2,6,0.063883214,4,4,3,5,2,6,1,6,1,6,1,0,1,1,5,6,7,2
1993,2,1,7,0.063884983,4,4,4,4,2,3,11,2,2,1,1,0,1,1,8,6,2,2
1988,1,3,6,0.06389603,4,4,3,5,1,7,11,1,1,2,1,0,1,1,8,2,3,4
1995,2,2,6,0.063936077,4,4,5,5,2,4,11,2,1,1,1,1,14,14,4,4,7,1
1995,1,1,7,0.06394143,5,5,4,4,2,9,3,1,1,5,1,1,1,1,5,4,2,1
1990,2,1,6,0.064019945,4,4,4,5,2,2,9,6,1,6,1,3,1,1,5,4,2,3
1987,2,2,6,0.064134912,4,1,4,5,1,3,2,1,1,2,1,0,1,1,5,2,3,4
1994,2,2,2,0.06415898,2,2,3,4,2,2,6,2,1,1,2,3,232,1,4,4,2,3
1998,2,2,7,0.064208231,2,2,4,4,2,,,1,2,2,1,0,1,1,4,6,6,3
1992,1,3,4,0.064213697,4,6,5,5,1,2,11,1,1,2,1,4,1,1,6,4,2,3
1998,1,2,6,0.064216737,4,4,5,5,2,7,2,1,2,2,1,0,1,1,5,3,3,3
1979,2,2,6,0.06432486,4,3,4,5,1,11,11,1,2,2,1,4,1,1,11,5,7,1
1992,2,2,6,0.064345798,4,4,5,5,2,10,5,1,2,2,1,0,1,1,10,6,7,1
1972,2,2,6,0.064345906,4,4,4,3,2,,11,1,2,4,1,0,1,1,7,4,7,1
1973,1,2,6,0.064360133,4,4,5,5,1,11,11,1,1,2,1,0,225,225,7,5,3,2
2000,2,2,5,0.06437087,7,5,5,4,2,6,1,1,1,2,1,1,1,1,5,6,6,3
1966,1,2,5,0.064470526,7,6,4,4,1,5,11,1,1,2,1,4,1,1,8,3,8,3
1982,2,2,6,0.064498386,4,4,5,5,2,11,5,1,2,2,1,4,1,1,9,6,3,2
1992,1,1,6,0.064562188,5,4,4,4,2,2,11,1,1,2,1,2,31,31,10,5,2,2
1953,2,2,6,0.064601891,4,4,5,5,2,11,8,1,2,2,1,0,1,1,11,1,2,4
1990,1,2,3,0.06464469,4,2,4,5,2,6,8,1,2,2,1,0,164,82,9,5,7,2
1984,2,2,6,0.064656507,4,4,5,4,2,,,1,2,2,1,0,1,207,10,6,2,2
1999,2,2,6,0.064656939,4,2,5,5,2,6,1,1,1,2,1,0,1,1,4,7,7,2
2001,2,,,0.064702502,4,4,5,5,2,,,1,1,2,1,,,,,4,,
1994,2,,,0.064714914,4,4,4,4,2,2,5,7,,7,,4,130,130,7,5,6,3
1997,2,,,0.064787894,1,4,4,4,2,,,,,,,1,,1,,,7,1
1991,2,2,6,0.064999826,4,4,5,5,2,4,5,1,1,2,1,0,225,225,9,5,2,2
